Time	Force
0	730.620717
0.002	730.625134
0.004	726.378262
0.006	726.026627
0.008	723.200453
0.01	720.367905
0.012	716.126197
0.014	714.357222
0.016	709.052353
0.018	706.929776
0.02	703.747912
0.022	701.975217
0.024	695.968135
0.026	694.197967
0.028	691.721641
0.03	687.47653
0.032	683.581344
0.034	682.873606
0.036	680.750329
0.038	676.503319
0.04	675.793844
0.042	674.73149
0.044	672.961004
0.046	671.898976
0.048	667.303811
0.05	670.479428
0.052	667.29491
0.054	669.772412
0.056	666.586382
0.058	664.107015
0.06	665.879005
0.062	666.580917
0.064	664.81043
0.066	665.160646
0.068	666.576147
0.07	664.452824
0.072	664.806667
0.074	665.51333
0.076	664.808102
0.078	664.448254
0.08	664.802191
0.082	668.339092
0.084	667.985172
0.086	669.750898
0.088	669.753132
0.09	670.812471
0.092	676.820334
0.094	684.593471
0.096	684.589958
0.098	683.171272
0.1	697.303754
0.102	699.758923
0.104	707.17373
0.106	709.294687
0.108	713.876076
0.11	715.641246
0.112	718.113899
0.114	719.167445
0.116	719.167772
0.118	719.873429
0.12	720.224084
0.122	719.872415
0.124	719.517272
0.126	721.276373
0.128	720.920887
0.13	722.678672
0.132	722.668807
0.134	726.204433
0.136	725.849256
0.138	723.367672
0.14	722.673304
0.142	723.386859
0.144	719.514657
0.146	716.705758
0.148	717.419709
0.15	715.304279
0.152	716.377378
0.154	715.32105
0.156	713.207183
0.158	712.151465
0.16	712.155316
0.162	708.621995
0.164	706.5106
0.166	706.859513
0.168	706.155843
0.17	703.324327
0.172	702.258193
0.174	704.725642
0.176	702.247384
0.178	702.231135
0.18	702.578086
0.182	703.277849
0.184	701.141042
0.186	702.545106
0.188	703.597731
0.19	702.165638
0.192	702.863837
0.194	705.332187
0.196	704.259144
0.198	704.953564
0.2	707.423125
0.202	709.535305
0.204	710.587382
0.206	712.699656
0.208	712.339591
0.21	713.391952
0.212	711.264658
0.214	714.439302
0.216	711.25255
0.218	713.367969
0.22	714.780702
0.222	715.130952
0.224	713.358291
0.226	714.770518
0.228	712.65069
0.23	711.233668
0.232	709.46429
0.234	710.876946
0.236	707.695744
0.238	705.567297
0.24	705.572531
0.242	706.27555
0.244	704.506877
0.246	703.446723
0.248	701.678924
0.25	699.199522
0.252	699.905465
0.254	703.088462
0.256	701.673313
0.258	697.779485
0.26	700.609129
0.262	701.671088
0.264	700.256275
0.266	702.024175
0.268	703.438619
0.27	702.023687
0.272	702.022914
0.274	704.851665
0.276	703.791795
0.278	703.434432
0.28	708.387606
0.282	708.38716
0.284	709.803986
0.286	711.924235
0.288	712.279892
0.29	714.747643
0.292	714.745333
0.294	717.927248
0.296	718.272594
0.298	718.266201
0.3	721.79804
0.302	722.493351
0.304	722.839856
0.306	723.893815
0.308	725.300928
0.31	723.87729
0.312	725.287619
0.314	725.989505
0.316	724.217187
0.318	720.672082
0.32	723.143809
0.322	722.078558
0.324	721.717326
0.326	721.358705
0.328	720.999471
0.33	722.403158
0.332	721.689173
0.334	724.157634
0.336	723.439979
0.338	723.781295
0.34	726.253081
0.342	729.783022
0.344	729.774944
0.346	732.596434
0.348	733.650409
0.35	733.644799
0.352	733.286118
0.354	735.754478
0.356	734.3356
0.358	732.211805
0.36	732.91674
0.362	731.503371
0.364	727.613616
0.366	728.67304
0.368	724.083676
0.37	721.962407
0.372	717.016124
0.374	716.669088
0.376	712.78651
0.378	707.13226
0.38	705.733963
0.382	703.616062
0.384	700.436461
0.386	700.100657
0.388	693.740772
0.39	691.979527
0.392	691.293145
0.394	688.112615
0.396	682.816761
0.398	680.349929
0.4	681.414904
0.402	678.942429
0.404	675.416013
0.406	672.586765
0.408	669.406689
0.41	666.934491
0.412	664.807935
0.414	660.92154
0.416	657.383084
0.418	652.426894
0.42	652.431044
0.422	647.835088
0.424	645.352464
0.426	643.940666
0.428	640.407511
0.43	636.508285
0.432	630.854409
0.434	631.203947
0.436	626.960098
0.438	622.718237
0.44	622.011829
0.442	620.953917
0.444	618.487035
0.446	624.508038
0.448	623.473972
